ID,Distance,Elevation
1,0,0
2,6.421227755029733,-0.5043406063582067
3,12.842455510059466,-0.4263645379555318
4,19.2636832650892,-0.3481421058686281
5,25.684911020118932,-0.2704853239014027
6,32.106138775148665,-0.1926092831736107
7,38.5273665301784,-0.0849269884022735
8,44.94859428520813,-0.08597447729017851
9,51.369822040237864,-0.08749572711150283
10,57.7910497952676,-0.08927158098065523
11,64.21227755029733,-0.09056352599322776
12,70.63350530532706,-0.0918232918853483
13,77.0547330603568,-0.09359914754326437
14,83.47596081538653,-0.09504815595455818
15,89.89718857041626,-0.010317941987748758
16,96.318416325446,0.12988467464052184
17,102.73964408047573,0.06880079674623636
18,109.16087183550547,-0.08108158818672893
19,115.5820995905352,-0.1480684549656195
20,122.00332734556493,-0.21598083994592598
21,128.42455510059466,-0.25048934044131116
22,134.8457828556244,-0.19399446627369532
23,141.26701061065413,-0.12594850487776527
24,147.68823836568387,-0.040579005537719814
25,154.1094661207136,-0.13149091635851787
26,160.5306938757433,-0.13172323811803346
27,166.95192163077306,-0.18489924751418546
28,173.3731493858028,-0.23779734536825214
29,179.79437714083252,-0.2673777519435419
30,186.21560489586224,-0.12235462718341933
31,192.636832650892,-0.07883738383983804
32,199.05806040592174,-0.025488457760559233
33,205.47928816095146,-0.046420403793708494
34,211.9005159159812,-0.06754786219190476
35,218.32174367101095,-0.08867531935158923
36,224.74297142604064,-0.10980277680321551
37,231.1641991810704,-0.13093023931140985
38,237.5854269361001,-0.15205768872689684
39,244.00665469112985,-0.13575333362582026
40,250.42788244615957,-0.09696417324691305
41,256.8491102011893,-0.05837103281757024
42,263.27033795621907,-0.04399999976158142
43,269.6915657112488,-0.04600000008940697
44,276.1127934662785,-0.04778501559388768
45,282.53402122130825,-0.041999999433755875
46,288.955248976338,-0.0430000014603138
47,295.37647673136775,-0.04499211064808225
48,301.7977044863975,-0.04600000008940697
49,308.2189322414272,-0.047534283679802156
50,314.64015999645693,-0.04899999871850014
51,321.0613877514866,-0.05000000074505806
52,327.48261550651637,-0.052000001072883606
53,333.9038432615461,-0.05299999937415123
54,340.32507101657586,-0.05456004653327488
55,346.7462987716056,-0.0560000017285347
56,353.16752652663536,-0.05700000002980232
57,359.58875428166505,-0.05900000035762787
58,366.0099820366948,-0.05999999865889549
59,372.4312097917245,-0.061824712352278516
60,378.85243754675423,-0.06300000101327896
61,385.273665301784,-0.06411594309172385
62,391.6948930568137,-0.0820000022649765
63,398.1161208118435,-0.08399999886751175
64,404.53734856687316,-0.0860000029206276
65,410.9585763219029,-0.08774231244864554
66,417.37980407693266,-0.08939524919434416
67,423.8010318319624,-0.09104817849021889
68,430.22225958699215,-0.09300000220537186
69,436.6434873420219,-0.0949999988079071
70,443.0647150970516,-0.09700000286102295
71,449.4859428520813,-0.0989999994635582
72,455.907170607111,-0.10100000351667404
73,462.3283983621408,-0.10296578066828765
74,468.7496261171705,-0.10461871280275248
75,475.1708538722002,-0.08399999886751175
76,481.59208162722996,-0.08553065235436338
77,488.0133093822597,-0.08699999749660492
78,494.4345371372894,-0.08799999952316284
79,500.85576489231914,-0.08996631755181257
80,507.2769926473489,-0.09099999815225601
81,513.6982204023786,-0.09218924834945069
82,520.1194481574083,-0.09670829718841441
83,526.5406759124381,-0.10154755279331984
84,532.9619036674678,-0.10634735994351767
85,539.3831314224976,-0.11180098442692354
86,545.8043591775273,-0.11643682015925255
87,552.225586932557,-0.12120546493575772
88,558.6468146875868,-0.12827401511114261
89,565.0680424426165,-0.13600009238252364
90,571.4892701976463,-0.1439686318973023
91,577.910497952676,-0.15217717866556665
92,584.3317257077058,-0.16043730985661234
93,590.7529534627355,-0.16869744214032398
94,597.1741812177652,-0.17695757442450133
95,603.595408972795,-0.18521770670728166
96,610.0166367278246,-0.1934696532461589
97,616.4378644828544,-0.20154354238316569
98,622.859092237884,-0.2094179577852204
99,629.2803199929139,-0.21761066720005506
100,635.7015477479436,-0.2255183552486414
101,642.1227755029732,-0.23377848348031915
102,648.544003258003,-0.24203861576286664
103,654.9652310130327,-0.2502987413734944
104,661.3864587680625,-0.25855886759772484
105,667.8076865230922,-0.2668189991973507
106,674.228914278122,-0.275079130800469
107,680.6501420331517,-0.28251166282754986
108,687.0713697881814,-0.2905994068743239
109,693.4925975432112,-0.2988595384800034
110,699.9138252982409,-0.30711966685056646
111,706.3350530532707,-0.315379801688219
112,712.7562808083004,-0.32363992329463925
113,719.1775085633301,-0.33190004301854376
114,725.5987363183599,-0.340077846406988
115,732.0199640733896,-0.3482017728256399
116,738.4411918284194,-0.3562770449968452
117,744.862419583449,-0.364323343970119
118,751.2836473384788,-0.3722007059731312
119,757.7048750935085,-0.3325250845488925
120,764.1261028485383,-0.07622326735423662
121,770.547330603568,0.20348409496222855
122,776.9685583585976,0.44783845572242775
123,783.3897861136275,0.7260637923271918
124,789.8110138686571,1.026058298582506
125,796.232241623687,1.314730383393844
126,802.6534693787166,1.6694727809247054
127,809.0746971337463,2.0990817077433293
128,815.4959248887761,2.461235906115304
129,821.9171526438058,2.9089652010279345
130,828.3383803988356,4.23143680415039
131,834.7596081538653,4.840507473984806
132,841.1808359088951,4.966715906658213
133,847.6020636639248,4.849191591328096
134,854.0232914189545,4.984208137117228
135,860.4445191739843,4.788577077872812
136,866.865746929014,4.549013811233054
137,873.2869746840438,5.074332926335412
138,879.7082024390734,4.94981802474854
139,886.1294301941032,6.377000101141588
140,892.5506579491329,8.644179756190841
141,898.9718857041626,11.620266284156646
142,905.3931134591924,13.41774712405333
143,911.814341214222,15.945685415744009
